sequence;id;time;positionCmd;velocityCmd;effortCmd;position;velocity;effort;accelX;accelY;accelZ;gyroX;gyroY;gyroZ;motorCurrent;windingCurrent;ambientTemperature;windingTemperature;voltage;pcRxTime;pcTxTime;hwRxTime;hwTxTime;sequence;rxSequence;pwmCmd;innerEffortCmd;deflection;motorPosition;motorVelocity;deflectionVelocity;orientationW;orientationX;orientationY;orientationZ;motorTemperature;processorTemperature;actuatorTemperature;pressure;resetButtonState;mStopState;commandLockState;temperatureState;positionLimitState;velocityLimitState;effortLimitState;ledR;ledG;ledB;ledA;
0;0;1654266204444643;;;;0.8830087184906006;-0.009464375674724579;-0.12418091297149658;-0.7206547260284424;0.1496376097202301;10.438719749450684;0.001565784215927124;-2.907104790210724E-4;0.0014122966676950455;0.007224082946777344;0.0;39.737831115722656;30.565073013305664;24.12323570251465;1654266204444282;1654266204443700;5501184063;5501184148;19;0;0.0;0.0;0.0017740130424499512;660.7816548341941;0.0;0.02027176320552826;0.9959570169448853;0.08087165653705597;0.03165594860911369;0.02296585589647293;30.57897186279297;;30.563480377197266;;;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.5019607843137255;0.0;;
0;1;1654266204444643;;;;-1.877385139465332;0.02556358091533184;-0.09148001670837402;-0.10883160680532455;-9.834860801696777;0.3657727837562561;4.38310467870906E-4;0.0011950015323236585;1.7035345081239939E-6;-0.005893707275390625;0.0;40.65435791015625;31.44428062438965;24.107900619506836;1654266204444602;1654266204443700;5501188395;5501188817;19;0;0.0;0.0;7.036924362182617E-4;;0.0;0.0345451757311821;;;;;31.385652542114258;;31.43840789794922;;;;;;;;;0.0;0.5294117647058824;0.0;;
0;2;1654266204444643;;;;-1.2065954208374023;0.018079152330756187;0.0916910171508789;-2.802412986755371;-9.418789863586426;0.07481880486011505;-1.192241907119751E-4;6.227064877748489E-4;-1.882314682006836E-4;0.0;0.0;39.35445022583008;30.804672241210938;24.20114517211914;1654266204444643;1654266204443700;5501189411;5501189484;19;0;0.0;0.0;-0.0013098716735839844;-910.0146719607025;0.0;0.041166722774505615;-0.1391867846250534;-0.06418968737125397;-0.7010385990142822;0.6964564919471741;30.780668258666992;;30.803054809570312;;;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.5019607843137255;0.0;;
1;0;1654266204454611;;;;0.8831018209457397;0.02572033740580082;-0.12858688831329346;-0.7146692276000977;0.14903905987739563;10.427347183227539;-5.630403757095337E-4;7.728375494480133E-4;3.4877657890319824E-4;0.007224082946777344;0.0;39.64198684692383;30.565073013305664;24.12323570251465;1654266204454259;1654266204453696;5501194054;5501194147;20;1;0.0;0.0;0.0018369555473327637;660.7816548341941;0.0;0.024662785232067108;0.9959568381309509;0.08087314665317535;0.03165651485323906;0.02296759933233261;30.57897186279297;;30.5634822845459;;;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.49411764705882355;0.0;;
1;1;1654266204454611;;;;-1.8774352073669434;-0.004645310342311859;-0.08256912231445312;-0.10930568724870682;-9.830693244934082;0.37427735328674316;3.6135618574917316E-4;-9.137368178926408E-4;2.824103576131165E-4;-0.005893707275390625;0.0;40.681312561035156;31.444246292114258;24.107900619506836;1654266204454532;1654266204453696;5501198377;5501198671;20;1;0.0;0.0;6.351470947265625E-4;;0.0;-1.7154216766357422E-4;;;;;31.385652542114258;;31.438377380371094;;;;;;;;;0.0;0.5215686274509804;0.0;;
1;2;1654266204454611;;;;-1.2066117525100708;0.008591081947088242;0.09878396987915039;-2.806004285812378;-9.403226852416992;0.08319851011037827;-1.1862814426422119E-4;6.229989230632782E-4;-1.8739700317382812E-4;0.0;0.0;39.01898956298828;30.804662704467773;24.20114517211914;1654266204454611;1654266204453696;5501199363;5501199455;20;1;0.0;0.0;-0.0014111995697021484;-910.0146719607025;0.0;0.006065132096409798;-0.13919304311275482;-0.06420455873012543;-0.7010491490364075;0.6964433193206787;30.780668258666992;;30.803043365478516;;;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.49019607843137253;0.0;;
2;0;1654266204464694;;;;0.8829984664916992;-0.0052314335480332375;-0.12146472930908203;-0.7164648771286011;0.15322890877723694;10.439916610717773;5.008280277252197E-4;7.719509303569794E-4;-7.145311683416367E-4;0.007224082946777344;0.0;39.64198684692383;30.565073013305664;24.12323570251465;1654266204464248;1654266204463701;5501204043;5501204131;21;2;0.0;0.0;0.0017352104187011719;660.7816548341941;0.0;-0.0035591209307312965;0.9959568381309509;0.08087332546710968;0.03166069835424423;0.02296380326151848;30.57897186279297;;30.563488006591797;;;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.4823529411764706;0.0;;
2;1;1654266204464694;;;;-1.8774091005325317;-0.014890937134623528;-0.07778048515319824;-0.11364058405160904;-9.8345365524292;0.376003623008728;-6.668301066383719E-4;3.934409323846921E-5;-9.152362472377717E-4;-0.005893707275390625;0.0;40.66034698486328;31.444211959838867;24.107900619506836;1654266204464603;1654266204463701;5501208444;5501208851;21;2;0.0;0.0;5.983114242553711E-4;;0.0;-0.011454092338681221;;;;;31.385652542114258;;31.43834686279297;;;;;;;;;0.0;0.5098039215686274;0.0;;
2;2;1654266204464694;;;;-1.2066155672073364;0.020370015874505043;0.09850025177001953;-2.807800054550171;-9.412803649902344;0.0694318488240242;-1.1803209781646729E-4;6.233956664800644E-4;-1.8656626343727112E-4;0.0;0.0;39.114837646484375;30.804643630981445;24.20114517211914;1654266204464694;1654266204463701;5501209439;5501209528;21;2;0.0;0.0;-0.0014071464538574219;-910.0146719607025;0.0;0.013541284948587418;-0.13920272886753082;-0.06422404944896698;-0.7010757327079773;0.6964127421379089;30.780668258666992;;30.803024291992188;;;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.47843137254901963;0.0;;
3;0;1654266204474615;-1.988590955734253;;;0.8829777240753174;-0.021474942564964294;-0.11685431003570557;-0.718859076499939;0.1454477459192276;10.432733535766602;5.005598068237305E-4;7.710680365562439E-4;3.5060569643974304E-4;1.3365697860717773;-2.282982349395752;39.737831115722656;30.861169815063477;23.784339904785156;1654266204474249;1654266204473695;5501214032;5501214113;22;3;-1.0;-10.0;0.0016693472862243652;660.7816548341941;0.0;-0.05191996321082115;0.9959565997123718;0.08087305724620819;0.03166460618376732;0.022963209077715874;30.57897186279297;;30.563491821289062;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14901960784313725;0.0;;
